trip_id,ride_id,stop_number,location,wait_mins,km_to_next
2807D9D4,RID0288,2,Office,9,6.73
E68B593E,RID0288,3,Home,5,1.26
4E6978A3,RID0289,1,Office,8,3.65
5C9F5144,RID0289,2,Mall,13,11.86
1C28487F,RID0289,3,Airport,1,10.26
D3A8F673,RID0290,1,Home,11,2.36
BB25E912,RID0290,2,Home,3,5.94
6438B4FF,RID0291,1,Home,0,5.98
F0B3F41B,RID0291,2,Station,7,4.85
99C5BBB3,RID0291,3,Mall,4,8.86
F2B0B59A,RID0292,1,Home,7,2.16
96D99328,RID0292,2,Office,6,10.05
D6C025DA,RID0292,3,Mall,14,2.08
FBE1B4DA,RID0293,1,Hospital,13,1.9
2293428F,RID0293,2,Airport,13,10.77
47F11EBF,RID0293,3,Hospital,6,5.91
FCD735C9,RID0294,1,Home,12,7.47
076AEB9E,RID0294,2,Office,12,10.59
F359DF32,RID0295,1,Hospital,13,11.96
AB1473F6,RID0295,2,Home,15,9.05
F6182BCC,RID0295,3,Hospital,5,2.59
393F68A9,RID0296,1,Hospital,14,2.42
4718E4AF,RID0297,1,Office,3,8.64
8AA12A01,RID0297,2,Hospital,15,1.36
9B89AE18,RID0297,3,Station,11,11.14
21F29290,RID0298,1,Office,13,2.21
1213382D,RID0299,1,Office,9,1.44
5E68BB7D,RID0299,2,Station,3,5.09
1CB06271,RID0300,1,Mall,9,6.35
E0FD8BF9,RID0300,2,Station,4,9.62
